nom_commune,code_postal,latitude,longitude,statut
Grenoble,38000,45.1842,5.7155,OK
Voiron,38500,45.3805,5.5869,OK
Vienne,38200,45.5221,4.8803,OK
Bourgoin-Jallieu,38300,45.6025,5.2747,OK
Échirolles,38130,45.1441,5.7148,OK
Saint-Martin-d'Hères,38400,45.1782,5.7646,OK
Villefontaine,38090,45.6161,5.1549,OK
Crolles,38920,45.2816,5.8853,OK
Meylan,38240,45.2147,5.7865,OK
Pont-de-Claix,38800,45.123,5.7017,OK
Vizille,38220,45.0728,5.7813,OK
Voreppe,38340,45.2861,5.6417,OK
Sassenage,38360,45.2141,5.6541,OK
Fontaine,38600,45.194,5.6763,OK
Saint-Egrève,38120,45.2315,5.6828,OK
Rives,38140,45.3606,5.4848,OK
Roussillon,38150,45.3818,4.8133,OK
Tullins,38210,45.2924,5.4874,OK
La Tour-du-Pin,38110,45.5743,5.4459,OK
Moirans,38430,45.3227,5.5676,OK
Saint-Marcellin,38160,45.1526,5.3166,OK
Saint-Martin-d'Uriage,38410,45.1568,5.8592,OK
Domène,38420,45.2053,5.8367,OK
Pontcharra,38530,45.4225,6.0228,OK
Bourg-d'Oisans,38520,45.0367,6.0275,OK
Vif,38450,45.043,5.6712,OK
Villard-Bonnot,38190,45.2455,5.8837,OK
Jarrie,38560,45.1114,5.7491,OK
Charvieu-Chavagneux,38230,45.7386,5.1522,OK
Saint-Quentin-Fallavier,38070,45.6392,5.1128,OK
Montbonnot-Saint-Martin,38330,45.2213,5.8148,OK
Claix,38640,45.1187,5.659,OK
Seyssinet-Pariset,38170,45.1721,5.6701,OK
Poisat,38320,45.1535,5.7701,OK
Gières,38610,45.1828,5.7902,OK
Eybens,38320,45.1526,5.7487,OK
Bresson,38320,45.133,5.7498,OK
Varces-Allières-et-Risset,38760,45.0884,5.6699,OK
Champagnier,38800,45.1128,5.7213,OK
Murianette,38420,45.1895,5.8259,OK
Seyssins,38180,45.1578,5.6697,OK
Saint-Paul-de-Varces,38760,45.0646,5.6319,OK
Veurey-Voroize,38113,45.2713,5.6042,OK
Noyarey,38360,45.2418,5.62,OK
Quaix-en-Chartreuse,38950,45.2591,5.7302,OK
Saint-Ismier,38330,45.2503,5.8274,OK
Chasse-sur-Rhône,38670,45.578,4.8129,OK
La Tronche,38700,45.2117,5.7443,OK
Corenc,38700,45.2264,5.7599,OK
